Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
both,50103442,yes,yes,2020/9/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50078188,yes,yes,2020/8/15,,,9,A,Queens,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Chinese
both,41327047,yes,yes,2020/8/25,,,7,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Jewish/Kosher
openstreets,40618557,no,no,2020/9/12,,,12,A,Manhattan,09B,Thawing procedures improper.,Moroccan
both,50096572,yes,yes,2020/11/25,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41624530,yes,yes,2020/7/17,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Peruvian
sidewalk,103340751,yes,no,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50085430,yes,no,2020/7/2,,,12,A,Manhattan,02B,Hot food item not held at or above 140º F.,Japanese
openstreets,50007424,no,no,2020/7/16,,,17,B,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mexican
both,41631065,yes,yes,2020/7/14,,,13,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Indian
both,50043194,yes,yes,2020/7/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50099867,yes,yes,2020/9/27,,,12,A,Brooklyn,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Coffee/Tea
sidewalk,41614718,yes,no,2020/7/11,,,5,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Pizza
roadway,50033699,no,yes,2020/11/3,,,9,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Caribbean
both,41579144,yes,yes,2020/7/2,,,12,A,Manhattan,09B,Thawing procedures improper.,Soups
sidewalk,50005669,yes,no,2020/8/24,,,22,B,Queens,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",American
roadway,50096818,no,yes,2020/11/5,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50089918,yes,yes,2020/11/5,,,10,A,Bronx,04A,Food Protection Certificate not held by supervisor of food operations.,Latin American
both,50105456,yes,yes,2020/7/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50072055,yes,no,2020/6/23,,,7,A,Manhattan,09C,Food contact surface not properly maintained.,Korean
sidewalk,50092653,yes,no,2020/9/4,,,2,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,40644352,yes,yes,2021/1/16,,,5,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,50067913,yes,no,2020/10/20,,,13,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Hamburgers
roadway,50053926,no,yes,2020/8/3,,,13,A,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Seafood
roadway,40393519,no,yes,2020/7/2,,,13,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,American
both,40610086,yes,yes,2020/6/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40398440,yes,yes,2020/9/8,,,12,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Italian
roadway,14691499042,no,yes,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,40396906,yes,no,2020/9/29,,,13,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
both,41444866,yes,yes,2021/6/16,,,12,A,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
sidewalk,50040962,yes,no,2020/7/5,,,5,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Coffee/Tea
roadway,41703928,no,yes,2020/10/29,,,55,C,Manhattan,04M,Live roaches present in facility's food and/or non-food areas.,French
sidewalk,50045140,yes,no,2020/7/13,,,23,B,Manhattan,04M,Live roaches present in facility's food and/or non-food areas.,Chinese
both,50060293,yes,yes,2020/6/23,,,13,A,Manhattan,02A,Food not cooked to required minimum temperature.,French
roadway,50107504,no,yes,2021/1/15,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50070309,no,yes,2020/10/30,,,6,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
roadway,50048541,no,yes,2021/2/6,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Hamburgers
both,41625654,yes,yes,2020/7/26,,,12,A,Brooklyn,05A,Sewage disposal system improper or unapproved.,Italian
sidewalk,50018213,yes,no,2020/7/9,,,2,A,Queens,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,American
roadway,41611875,no,yes,2020/9/30,,,11,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
both,50103813,yes,yes,2020/10/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41668300,yes,yes,2020/7/29,,,13,A,Manhattan,09C,Food contact surface not properly maintained.,Italian
sidewalk,41714424,yes,no,2020/6/19,,,12,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Steakhouse
both,50074000,yes,yes,2020/8/27,,,8,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50106042,yes,yes,2021/3/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50084746,yes,yes,2020/9/19,,,11,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Thai
both,41167181,yes,yes,2020/7/9,,,11,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,50038278,yes,no,2020/9/15,,,10,A,Bronx,09C,Food contact surface not properly maintained.,Tex-Mex
both,50106450,yes,yes,2020/10/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,40401453,yes,no,2020/7/3,,,7,A,Manhattan,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,American
sidewalk,50042574,yes,no,2020/6/21,,,12,A,Bronx,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Latin American
sidewalk,50074797,yes,no,2020/6/20,,,9,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Tex-Mex
both,50070512,yes,yes,2021/3/17,,,13,A,Manhattan,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Asian/Asian Fusion
sidewalk,50088380,yes,no,2020/7/3,,,6,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,50002009,yes,no,2020/7/9,,,19,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mexican
sidewalk,50072194,yes,no,2020/9/4,,,12,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Caribbean
both,50102717,yes,yes,2020/9/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50008437,yes,yes,2021/3/10,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
openstreets,41142210,no,no,2020/7/17,,,11,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mediterranean
both,50105866,yes,yes,2020/11/13,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50081979,yes,yes,2020/7/16,,,31,C,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Mexican
both,50081058,yes,yes,2020/9/25,,,12,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Chinese
sidewalk,40388818,yes,no,2020/7/25,,,9,A,Manhattan,02B,Hot food item not held at or above 140º F.,Japanese
roadway,50106401,no,yes,2020/12/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
openstreets,50052596,no,no,2020/10/28,,,12,A,Brooklyn,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",American
sidewalk,50106366,yes,no,2020/10/16,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105653,yes,yes,2020/9/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50060535,yes,yes,2020/7/28,,,4,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Bakery Products/Desserts
roadway,196996,no,yes,2020/7/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41677912,yes,yes,2020/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,41575487,no,yes,2020/7/21,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Pizza
roadway,50076590,no,yes,2020/7/29,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Vegetarian
sidewalk,50075946,yes,no,2020/9/21,,,13,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Chinese
both,97-61718,yes,yes,2020/7/23,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50063422,yes,yes,2020/9/26,,,11,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Chinese
sidewalk,50106065,yes,no,2020/10/11,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50018036,yes,no,2020/7/14,,,12,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Coffee/Tea
